target	rt.m	rt.sd	rt.n	zrt.m	zrt.sd	zrt.n	acy	acy.n	nbphon	puPhon	pld20	accd	fb	ff	ft
débitant	1101.7355	118.85479	41	0.3409371599	0.6320031	41	0.9777778	45	6	6	1.85	705	1.20999998	0.04	1.25
débite	1127.7993	167.07512	44	0.3007910073	0.7919221	44	0.8979592	49	5	5	1.7	686	2.83999996	0.35	3.19
débiter	1056.3755	105.5985	46	-0.0010678999	0.6712073	46	0.9583333	48	6	6	1.55	680	3.44999999	0.82	4.27
débiteurs	1221.3953	185.72921	43	1.0906204273	0.7953757	43	0.9787234	47	7	6	2	912	0.40999999	0.55	0.96
déblayer	1074.4374	143.53758	46	0.0839725543	0.8484419	46	0.92	50	7	7	2.25	688	1.55	0.45	2
débloque	1030.383	97.35909	48	-0.0561646446	0.5982507	48	0.9411765	51	6	5	2.6	682	1.34999999	1.38	2.73
débloquer	1117.7825	125.26361	47	0.3769468562	0.717069	47	0.9791667	48	7	7	2.1	740	1.55	0.77	2.32
déboires	1094.569	180.73017	41	0.2643348167	0.8610844	41	0.877551	49	6	6	1.95	699	3.31	0.43	3.74
débordait	1183.3437	157.69797	42	0.7836686688	0.7967589	42	0.9130435	46	7	7	2.55	714	4.86000005	0.67	5.53
débordant	1159.3658	138.12311	39	0.5527913653	0.7572129	39	0.8888889	45	7	7	2.6	718	6.49000004	0.64	7.13
déborde	1011.657	141.78215	46	-0.3754991634	0.6605126	46	0.9787234	47	6	6	2.05	691	5.61000001	2.31	7.92
déborder	1147.7474	224.35458	44	0.4672698172	1.1822234	44	0.9375	48	7	7	1.9	662	3.91999997	1.78	5.7
déboucha	1090.8588	148.9817	46	0.2495499031	0.6974559	46	1	47	6	6	2.15	695	4.11999999	0.01	4.13
débouche	1052.1629	78.22957	43	0.0703237434	0.5473869	43	0.9361702	47	5	5	1.85	511	6.49000004	1.97	8.46
déboucher	1051.2363	127.49681	43	-0.0497377387	0.6104971	43	0.9555556	45	6	6	1.7	648	6.22000004	0.78	7
déboulai	1018.5128	111.57554	43	-0.2145088058	0.5349583	43	0.9772727	44	6	6	1.9	589	0.07000001	0	0.07
déboulant	1101.0999	193.04192	44	0.3113511148	1.1094644	44	0.9361702	47	6	6	1.9	592	0.46999998	0.02	0.49
déboule	1202.0535	127.97109	34	1.179188585	0.6887788	34	0.9268293	41	5	5	1.85	710	1.42000002	0.75	2.17
débraillé	1126.6114	145.95989	44	0.4634366434	0.7517394	44	0.9777778	45	7	6	1.85	709	2.09999997	0.61	2.71
débranché	1146.9585	186.0495	44	0.6714242314	0.7626789	44	0.9777778	45	7	7	1.95	748	0.74000001	1.38	2.12
débranche	1181.6327	211.8892	42	0.5085462141	0.908207	42	0.9130435	46	6	6	2.5	812	0.61000001	1.34	1.95
débrayez	1192.9613	141.9078	43	1.0375732037	0.8591735	43	0.9555556	45	7	5	1.85	760	0	0.02	0.02
débris	1124.8233	169.0418	37	0.2670240005	0.9390703	37	0.8604651	43	5	5	1.9	533	13.84999988	4.94	18.79
débusquer	1114.4266	117.65378	42	0.5231324342	0.793564	42	0.893617	47	7	7	2.6	708	1.49000002	0.89	2.38
début	1006.1272	203.60825	45	-0.343284637	1.1370693	45	0.9782609	46	4	4	1.75	464	128.50999899	109.88	238.39
débutait	1045.4492	140.37107	46	-0.0875195331	0.8258494	46	1	46	6	6	2.25	620	1.21999998	0.23	1.45
débutant	1001.5087	163.421	50	-0.4168576959	0.6542595	50	1	50	6	6	2.1	595	1.69	3.34	5.03
débutante	1083.2854	134.77732	42	0.2641932132	0.8968549	42	0.9767442	43	7	7	2.75	806	0.80999998	1.88	2.69
débute	1061.6403	152.37972	46	0.0327406172	0.7115701	46	1	47	5	5	1.8	721	1.61999999	2.77	4.39
débuter	1033.6967	186.80986	40	-0.1183461788	1.0415224	40	0.9130435	46	6	6	1.7	576	0.88	1.72	2.6
décès	1205.5833	109.19845	40	1.0076693826	0.8137967	40	0.9130435	46	4	4	1.45	632	4.65999998	12.82	17.48
décédé	1050.306	95.86541	47	-0.0471840859	0.6967188	47	0.9791667	48	6	6	1.75	678	2.09	5.73	7.82
décadence	1215.2384	159.05021	49	1.0458342128	0.8353708	49	1	49	7	7	2.55	937	4.72999997	1.28	6.01
décadente	1208.2588	127.14736	41	1.016639889	0.7789696	41	0.9534884	43	7	7	2.65	850	0.20000001	0.71	0.91
décadents	1162.6094	139.94819	44	0.8003632292	0.7554452	44	0.9782609	46	6	6	1.8	633	0.46999998	0.08	0.55
décalage	1151.4971	164.49789	47	0.4693163797	0.5490448	47	1	47	7	7	1.85	813	3.64999997	2.04	5.69
décalquai	1151.5624	189.22754	49	0.4860346439	0.8314178	49	0.9607843	51	7	7	2.6	693	0.07000001	0	0.07
décampe	1274.5579	165.02189	42	1.439569879	1.0903182	42	0.8076923	52	5	5	1.85	740	0.54	1.66	2.2
décamper	1186.4412	169.3795	42	0.7869704782	0.994006	42	0.893617	47	6	6	1.85	689	0.94999999	0.81	1.76
décapait	1175.181	149.96513	43	0.7791581722	0.7570695	43	0.9166667	48	6	6	1.9	723	0.34000001	0	0.34
décapant	1143.7926	185.24598	48	0.4411952211	0.8486088	48	1	49	6	6	1.9	655	0.27	0.3	0.57
décape	1126.2331	108.4397	46	0.4731648442	0.6979477	46	0.9387755	49	5	5	1.75	702	0.20000001	0.07	0.27
décapiter	1125.104	183.07172	45	0.4440872193	0.7362769	45	1	47	8	8	2.4	795	0.88	1.09	1.97
décapoter	1250.7172	212.33174	39	1.2029105784	0.86217	39	0.9387755	49	8	6	2.25	829	0.07000001	0	0.07
décelable	1296.3606	154.65417	34	1.3875938998	0.7871101	34	0.787234	47	7	7	3.7	814	0.20000001	0.04	0.24
déceler	1176.5582	214.38967	44	0.6980917334	0.9644072	44	0.9777778	45	5	2	2.95	637	6.01000003	0.87	6.88
décembre	1223.9662	200.45554	47	1.0368605392	0.8689448	47	1	50	6	6	2.3	730	31.1500002	8.55	39.7
décemment	1155.882	159.30163	44	0.7309890542	0.8379186	44	0.88	50	6	5	1.9	623	2.57000003	0.96	3.53
décence	1157.3474	162.5171	40	0.7687959594	0.9851074	40	0.875	48	5	5	1.6	727	2.77	2.92	5.69
décennie	1194.6018	151.63858	34	0.9047492926	1.0367885	34	0.7608696	46	6	4	2.2	662	0.94999999	1.27	2.22
déception	1111.9863	184.57298	42	0.3154871598	0.7745582	42	0.9333333	45	8	5	3.4	745	13.04000007	5.46	18.5
décerne	1267.4243	245.38082	46	1.1527404948	1.1731853	46	0.9215686	51	6	6	2	806	0.40999999	0.19	0.6
décevant	1143.0696	199.86898	46	0.4404241843	0.8375199	46	1	47	6	2	3.35	723	2.36999999	1.64	4.01
décevante	1152.7846	143.28392	47	0.4916455332	0.7271654	47	0.9791667	48	7	2	4.1	845	1.49000002	0.57	2.06
décevez	1072.3323	213.65506	43	-0.0011514332	0.871822	43	0.9148936	47	6	6	3	636	0.14	1.69	1.83
décevoir	1067.4446	200.55522	44	-0.0453402575	0.7193401	44	1	45	8	2	3.85	805	3.85000002	7.65	11.5
décevons	1125.5517	181.30252	48	0.4002508844	0.8895046	48	0.9411765	51	6	6	4.7	616	0	0.07	0.07
décevrai	1178.2862	179.92717	29	0.7652631983	1.0017537	29	0.7173913	46	7	7	3.95	597	0.07000001	0.92	0.99
décevrait	1115.0309	161.08545	34	0.4130027894	0.8945474	34	0.7446809	47	7	7	3.95	578	0.20000001	0.09	0.29
déchéance	1149.6103	161.61385	47	0.5633136879	0.8135673	47	1	48	6	5	2.25	839	6.28000001	1.67	7.95
déchaîna	1167.1166	155.00619	43	0.7595782014	0.886064	43	0.9772727	44	6	6	2.65	696	1.34999999	0.13	1.48
déchaîne	1234.024	167.21092	36	0.9916558483	0.9349213	36	0.8222222	45	5	5	1.8	760	1.55	1.16	2.71
déchaîner	1132.1538	145.76027	50	0.5741493433	0.8750613	50	1	50	6	6	2	679	2.36000002	1.32	3.68
décharge	1092.833	141.55924	44	0.2929691081	0.7294892	44	0.9777778	45	6	6	1.9	804	13.16999999	9.58	22.75
