target	rt.m	rt.sd	rt.n	zrt.m	zrt.sd	zrt.n	acy	acy.n	nbphon	puPhon	pld20	accd	fb	ff	ft
ôta	1095.2776	164.08982	35	0.1955844039	0.8862715	35	0.8139535	43	3	3	1.1	439	8.03999999	0.46	8.5
ôtaient	1144.4955	197.51584	42	0.424462791	0.9270014	42	0.893617	47	3	3	1.25	466	1.07999998	0.01	1.09
ôter	950.9672	156.06005	38	-0.6689466859	1.0319603	38	0.8085106	47	3	3	1	369	10.00000012	5.57	15.57
âcre	1006.39	138.06237	38	-0.3389437433	0.9315166	38	0.8085106	47	3	3	1	417	10.13999998	0.45	10.59
âgé	892.9493	109.40291	48	-1.15730964	0.6644293	48	0.96	50	3	2	1	434	14.39000001	7.67	22.06
âme	903.0969	129.88356	43	-0.9860528676	0.8591348	43	0.9148936	47	2	2	1	460	129.5300006	122.22	251.75
âne	940.9395	215.92156	44	-0.9381867268	1.0124263	44	0.9565217	46	2	2	1	476	14.32000017	12.33	26.65
âneries	965.3555	216.38661	44	-0.747293812	0.9615774	44	0.9361702	47	4	4	2.75	423	1.88999998	1.64	3.53
âpre	919.7666	116.98047	44	-0.9300834054	0.6754342	44	0.8979592	49	3	3	1.15	402	7.69999995	1.32	9.02
ça	1071.1666	174.69033	37	0.0509267397	0.9475643	37	0.755102	49	2	1	1	343	2483.649997	8971.85	11455.5
ébène	1051.0368	172.21468	43	-0.0721062382	0.8108019	43	0.877551	49	4	3	1.85	526	4.45999997	0.62	5.08
ébéniste	1091.4407	181.50698	44	0.085947313	0.7290784	44	0.9777778	45	7	7	2.75	710	1.34999999	0.11	1.46
ébahi	969.7621	174.01246	46	-0.6976281272	0.8655281	46	0.9583333	48	4	4	1.95	513	2.09999997	0.29	2.39
ébats	991.233	203.8891	38	-0.7083742229	1.0123384	38	0.8666667	45	3	3	1.75	342	2.3	0.41	2.71
ébaucha	1077.9267	194.45996	40	0.1380280253	1.1326574	40	0.8541667	48	5	5	2.35	588	2.36000002	0	2.36
ébauchant	1097.1766	233.12938	40	0.171253885	1.3157117	40	0.8333333	48	5	5	2.35	553	0.67999999	0	0.68
ébauche	1039.6713	151.96952	43	-0.0547389929	0.9931644	43	0.9777778	45	4	4	1.85	615	5.13999998	1.18	6.32
ébaucher	949.8988	113.33042	45	-0.7401560967	0.6328323	45	0.92	50	5	5	1.85	557	1.15	0.03	1.18
ébloui	953.9804	158.50847	46	-0.7177281546	0.8398817	46	1	47	5	5	2.45	500	8.64999993	0.7	9.35
éblouir	1111.9452	165.62701	43	0.3462767784	0.9294552	43	0.9782609	46	6	6	2.65	748	2.3	0.92	3.22
éblouis	1097.9729	187.044	48	0.2074180926	0.9202052	48	1	49	5	5	2.45	615	3.58000002	0.78	4.36
éboueur	1052.9109	172.69583	42	-0.1429913251	0.7601851	42	1	42	5	4	2.45	780	0.61000001	0.97	1.58
ébouriffé	1167.1035	214.10971	47	0.5801960977	0.885427	47	1	47	7	7	2.75	727	1.48	0.06	1.54
ébrécher	1131.2991	203.80076	39	0.2904354994	1.116487	39	0.8863636	44	6	6	1.95	662	0.14	0	0.14
ébranla	1050.6216	127.68336	47	-0.057978619	0.8981936	47	1	47	6	6	2.6	639	3.85000002	0.15	4
ébranlait	1017.4604	125.94021	49	-0.2185773462	0.620575	49	1	50	6	6	2.65	647	2.69999997	0.01	2.71
ébranle	1052.3828	185.39644	40	-0.0522095347	1.0164642	40	0.9318182	44	5	5	2	470	2.97000003	0.22	3.19
ébranler	1002.9741	139.18614	43	-0.3321708899	0.716678	43	0.9555556	45	6	6	2.2	666	3.78000004	1.35	5.13
ébriété	1132.2276	148.14837	44	0.5794630581	0.936511	44	0.9583333	48	8	4	3.2	700	1.15	0.73	1.88
ébroua	1148.5206	201.46841	30	0.4948279248	0.7487944	30	0.6666667	48	5	5	2.05	657	1.75999999	0	1.76
écaillé	1027.0303	163.62292	45	-0.3189162322	0.8071459	45	0.9574468	47	5	5	1.7	557	1.28000002	0.06	1.34
écaillant	983.2482	141.96811	40	-0.4763868052	0.6225012	40	0.8510638	47	5	5	1.85	521	0.34000001	0	0.34
écaille	961.7883	126.17633	42	-0.6099725757	0.7425213	42	1	44	4	4	1.6	591	7.10000002	0.76	7.86
écailleur	1185.6365	206.21036	31	0.7635137386	1.1278861	31	0.673913	46	6	5	1.95	748	0.07000001	0	0.07
écarlate	1146.2236	151.10345	43	0.5413996097	0.6729555	43	1	45	7	5	2.95	766	7.03000009	0.79	7.82
écart	1065.9091	126.3553	42	0.1154927355	0.8166564	42	0.8958333	48	4	4	1.5	591	32.29999973	14.36	46.66
écarta	1012.3569	157.62555	47	-0.5100374615	0.7392506	47	1	47	6	6	1.95	551	13.72	0.51	14.23
écartai	1028.7398	274.49436	48	-0.3329514739	1.0954653	48	0.9795918	49	6	6	2.15	606	1.88999998	0	1.89
écartait	1007.3613	178.9568	48	-0.5244781754	0.7592392	48	0.9795918	49	6	6	2.15	608	7.23000009	0.51	7.74
écartant	1001.0932	142.37548	45	-0.5400486404	0.5552181	45	0.9782609	46	6	6	1.95	563	9.86000012	0.16	10.02
écarte	1041.8415	153.24263	46	-0.1162275962	0.727361	46	0.9583333	48	5	5	1.8	636	13.4500001	5.95	19.4
écartelé	1153.5453	215.20417	43	0.4814606422	0.9294422	43	0.9555556	45	8	8	3.6	716	1.69999997	0.44	2.14
échéance	985.9349	126.2932	48	-0.507626345	0.7054422	48	0.9795918	49	5	5	2.2	744	5.67999996	2.13	7.81
échéant	1162.4081	227.01486	46	0.5326965252	1.2194461	46	0.9387755	49	4	4	1.9	544	3.85000002	0.47	4.32
échafaud	1168.7503	178.70829	44	0.6716441757	0.9256732	44	0.88	50	5	5	2.2	641	2.22999998	0.85	3.08
échancrés	1165.0152	183.32487	44	0.6710071354	0.8262048	44	0.9166667	48	6	6	2.65	708	0.20000001	0.01	0.21
échange	959.0375	97.27683	46	-0.645801234	0.5783762	46	1	46	4	4	1.9	691	26.96000019	35.04	62
échangea	1026.1397	159.01879	49	-0.3004221303	0.6785641	49	1	49	5	5	2.4	619	2.03000001	0.02	2.05
échanger	971.0608	174.34655	48	-0.6536203468	0.837023	48	0.9795918	49	5	5	1.85	620	12.03000013	9.86	21.89
échappa	987.9951	128.69057	49	-0.4460093638	0.8019663	49	0.98	50	5	5	1.95	552	4.05000002	0.28	4.33
échappais	1043.2154	132.55512	45	-0.2955444999	0.6730498	45	0.9787234	47	5	5	2.05	606	1.07999998	0.28	1.36
échappant	1036.1519	159.31446	48	-0.1730328226	0.7738305	48	1	49	5	5	1.95	612	3.78000004	0.29	4.07
échappe	1128.7827	204.17312	45	0.3947798662	1.0072634	45	0.9583333	48	4	4	1.7	621	18.64999979	16.76	35.41
échapper	947.72	146.66216	44	-0.6562642654	0.9625715	44	1	44	5	5	1.9	581	48.03999983	39.72	87.76
échappera	1048.0502	166.45789	50	-0.0820524083	0.9320946	50	1	50	6	7	3.9	632	1.28000002	2.76	4.04
échappiez	1266.6719	227.51051	33	1.174820325	1.1874189	33	0.7555556	45	6	6	1.95	678	0.07000001	0.09	0.16
écharde	1105.2515	130.63121	44	0.4534627235	0.6642905	44	0.92	50	5	5	1.95	691	1.42000002	0.37	1.79
écharpé	1032.2824	182.14758	30	-0.2096093229	0.8460332	30	0.6888889	45	6	6	1.85	592	0.07000001	0	0.07
écharpe	1017.4606	139.38689	48	-0.1849405158	0.8374978	48	0.9795918	49	5	5	1.9	627	11.42000012	4.68	16.1
échasses	1041.5159	147.78784	42	-0.2175473312	0.7345841	42	0.9333333	45	4	4	1.9	614	1.15	0.38	1.53
échassier	1089.2259	109.32898	32	0.139507204	0.6634836	32	0.7619048	42	6	6	1.9	648	2.57000003	0.01	2.58
échaudés	1077.415	225.59255	29	0.0177037567	1.0895415	29	0.6744186	43	5	5	1.9	575	0.34000001	0.04	0.38
échauffe	1078.1003	139.46416	40	0.1314578864	0.6745979	40	0.9148936	47	4	4	1.9	615	0.88	0.59	1.47
échauffer	1032.9326	179.05852	44	-0.1426918993	1.014708	44	1	45	5	5	1.8	628	0.88	1.4	2.28
échec	927.8083	120.54089	47	-0.8754074018	0.6541647	47	0.94	50	4	4	1.8	555	21.76000012	15.47	37.23
échelle	998.8088	152.72603	47	-0.4395128953	0.7525495	47	0.96	50	4	4	1.95	639	28.03999986	13.46	41.5
échelon	1110.4694	147.3237	41	0.3575628372	1.016872	41	0.8571429	49	4	5	3.9	524	2.91000002	0.77	3.68
échevelée	1089.6526	206.80201	29	0.2536902738	0.9122998	29	0.6666667	48	6	7	4.7	658	2.29000002	0.02	2.31
échine	1041.4064	113.96139	39	-0.1512721831	0.6345896	39	0.8478261	46	4	4	1.8	598	8.52000004	1.4	9.92
échiquier	1079.5147	142.20518	41	0.1501880236	0.7723311	41	0.8979592	49	6	4	2.4	666	2.77	0.7	3.47
écho	962.3779	168.64326	49	-0.7493284814	0.8667491	49	1	49	3	3	1.5	413	32.50000023	5.83	38.33
échoppe	1135.6485	171.88643	33	0.4252672545	0.8966178	33	0.7391304	46	4	3	1.9	536	2.03000001	0.19	2.22
échouer	1000.3529	119.63786	41	-0.3273041326	0.7196312	41	0.9545455	44	4	4	1.95	503	3.99000005	5.41	9.4
éclair	1038.1052	204.13902	49	-0.196116763	0.9469475	49	0.9803922	51	5	5	1.8	714	27.84000026	10.25	38.09
éclaira	1026.1921	186.80885	47	-0.3273491228	0.8543206	47	0.9795918	49	6	6	2.2	639	6.61999998	0.19	6.81
éclairage	1068.2009	230.8158	47	-0.0480743247	1.0557623	47	1	48	7	7	2.6	786	10.74000008	3.71	14.45
éclairait	1041.8234	131.92492	42	-0.0425704792	0.7889357	42	0.9777778	45	6	4	2.25	670	14.59000017	0.7	15.29
éclairant	1067.9758	161.61126	45	-0.0459521143	0.7450917	45	0.9574468	47	6	6	2.15	634	3.64999997	0.21	3.86
éclairci	1100.6082	169.10029	44	0.2159335752	0.9775069	44	1	45	7	7	2.65	650	1.75999999	1.14	2.9
éclaircir	1132.7923	218.50184	46	0.5302104361	1.118376	46	1	46	8	8	3.05	914	5.34000003	4.75	10.09
éclaircit	1085.4417	151.61415	43	0.1708977001	0.8575103	43	1	44	7	7	2.65	655	1.75999999	1.1	2.86
éclairer	968.126	154.16927	46	-0.6466181558	0.8519669	46	1	46	6	4	2	583	12.97000012	5.91	18.88
éclaireur	1058.5381	207.42547	48	0.0108662301	0.9203706	48	1	48	7	6	2.7	768	1.42000002	1.96	3.38
éclat	1065.6041	165.25049	42	-0.0831703836	0.710192	42	0.8431373	51	4	4	1.95	502	50.94999977	9.73	60.68
éclata	1038.956	158.51411	47	-0.235645836	0.6566205	47	0.9791667	48	6	6	2.55	667	20.07000021	0.55	20.62
éclatai	988.7604	129.81352	44	-0.4086315695	0.7562463	44	1	46	6	6	2.6	626	1.49000002	0	1.49
éclatait	1043.0374	156.37908	43	-0.1911419147	0.7302206	43	1	44	6	6	2.6	685	8.23999997	0.39	8.63
éclatant	1044.1847	135.96794	46	-0.1822677824	0.6706066	46	0.9787234	47	6	6	2.4	600	12.57000007	1.53	14.1
éclatante	1160.0524	184.39061	50	0.642094667	1.0295836	50	0.9803922	51	7	7	2.8	863	7.63999995	1.88	9.52
éclate	1059.65	143.52623	48	0.0233416091	0.760558	48	1	49	5	5	1.85	677	16.22000011	11.69	27.91
éclipsa	1058.0297	182.47149	46	-0.1434705434	0.9206833	46	1	47	7	7	2.65	648	1.07999998	0.02	1.1
éclipse	1206.3406	146.508	48	1.0086027194	0.9422181	48	0.96	50	6	6	2.25	706	3.44	2.11	5.55
éclipser	1044.7626	185.00227	43	-0.0873802656	1.0019397	43	0.9555556	45	7	7	2.55	613	2.22999998	1.5	3.73
éclore	1119.991	178.91055	45	0.2382363391	0.7017709	45	0.9574468	47	5	4	1.85	771	2.83999996	0.82	3.66
éclos	1002.1992	158.96469	46	-0.3312517818	1.0070654	46	0.9791667	48	4	4	1.75	415	0.74000001	0.63	1.37
éclosion	1156.3338	216.79657	39	0.4342401296	0.811156	39	0.8888889	45	7	6	3.55	684	1.88999998	0.1	1.99
écluse	1079.9686	168.46067	48	0.1834084712	0.8281668	48	0.9795918	49	5	5	1.95	723	2.22999998	0.41	2.64
écluser	1137.9116	197.75184	29	0.6463220451	1.1419268	29	0.6666667	48	6	6	2.15	695	0.88	0.07	0.95
écoeuré	987.4576	148.07216	43	-0.5724604135	0.8217542	43	0.9777778	45	5	5	1.9	564	5.13999998	0.47	5.61
écoeurait	1079.3858	215.04986	46	0.0684745601	1.1708932	46	0.92	50	5	5	1.9	622	1.28000002	0.01	1.29
écoeurant	955.7649	138.39242	47	-0.7166887649	0.6805695	47	1	47	5	5	1.9	623	2.97999998	1.77	4.75
école	974.1067	195.18045	44	-0.6131351073	0.9513564	44	0.9777778	45	4	3	1.7	610	128.50999899	197.04	325.55
écolière	1051.7347	214.68492	45	-0.1618284799	0.9491459	45	1	45	7	6	2.6	850	3.85000002	1.11	4.96
écolier	1023.8139	159.88595	47	-0.2134437579	0.8240133	47	1	47	6	6	1.9	552	10.54000003	0.79	11.33
économe	981.0542	146.90934	48	-0.6251770639	0.6895185	48	1	48	6	5	2.7	651	2.36999999	0.78	3.15
économie	1021.1861	131.35492	49	-0.3103026881	0.6330561	49	1	49	7	7	2.45	647	15.73999986	9.2	24.94
économisé	1131.4299	158.89125	45	0.5426690487	0.6912599	45	1	46	9	9	3.05	846	0.40999999	1.62	2.03
économise	1194.6451	254.28826	47	0.7457112313	1.1352936	47	1	49	8	8	2.7	882	0.46999998	3.15	3.62
écopa	1015.6868	124.15209	37	-0.3180339308	0.7218047	37	0.8863636	44	5	5	1.95	594	0.20000001	0.02	0.22
écoper	999.8906	142.30564	42	-0.4259358472	0.7359152	42	0.9347826	46	5	5	1.8	567	0.61000001	0.72	1.33
écorce	1008.3143	121.1192	47	-0.3251728797	0.5194243	47	0.9795918	49	5	5	1.85	719	9.45999989	1.99	11.45
écorchait	1187.6821	236.20298	33	0.7477592496	1.0833322	33	0.7346939	49	6	6	2.45	632	0.94999999	0.11	1.06
écorche	1084.0294	155.56263	41	0.2078913294	0.9721039	41	0.9333333	45	5	5	1.9	660	1.01000001	0.53	1.54
écorcher	1040.6016	158.79883	39	-0.0283769367	0.9259863	39	0.8297872	47	6	6	1.9	670	1.28000002	1.2	2.48
écornée	1037.0908	168.47414	33	-0.181920327	0.989614	33	0.7234043	47	6	6	1.75	547	0.21	0.15	0.36
écossent	1092.2269	160.93242	44	0.1551470399	0.782105	44	0.9574468	47	4	4	1.8	667	0.07000001	0.03	0.1
écosser	1008.3452	194.39926	41	-0.458203743	1.0045985	41	0.9333333	45	5	5	1.9	533	0.94999999	0	0.95
écoula	1043.1367	175.36731	43	-0.1936271324	0.6018717	43	1	44	5	5	1.9	534	2.15999998	0.23	2.39
écoulait	1012.7197	145.02758	46	-0.2943690037	0.7446256	46	0.9787234	47	5	5	1.95	600	3.17999998	0.3	3.48
écoule	1114.7214	175.88499	38	0.4084139358	0.8911875	38	0.8510638	47	4	4	1.75	607	3.64999997	1.92	5.57
écouler	934.8551	140.99382	41	-0.7456586184	0.8099751	41	1	41	5	5	1.65	535	4.92999995	1.09	6.02
écouta	1029.3976	201.69121	45	-0.3242045688	0.8235754	45	1	45	5	5	1.85	606	14.53000015	0.06	14.59
écoutai	964.9928	196.90342	46	-0.7012771893	1.0553325	46	1	46	5	5	1.85	559	2.36000002	0.17	2.53
écoutais	997.8898	105.41829	45	-0.4005928207	0.5270919	45	1	46	5	5	1.85	623	16.61999983	5.74	22.36
écoutant	1000.6606	177.50456	46	-0.4102266182	0.9065996	46	0.9583333	48	5	5	1.85	578	24.38999995	3.12	27.51
écoute	1216.3181	193.74299	34	0.8444376163	0.8592398	34	0.8571429	42	4	4	1.85	704	93.0399999	236.68	329.72
écoutera	1082.8687	154.47205	47	0.1318233663	0.6848895	47	0.9791667	48	6	7	3.9	701	0.80999998	4.14	4.95
écouterai	1100.9717	163.39563	40	0.2151180138	0.7848701	40	0.9318182	44	6	7	3.9	687	0.54	1.89	2.43
écouteur	1163.5284	166.25375	46	0.6340132137	0.9235439	46	0.9787234	47	6	5	1.95	775	3.64999997	0.37	4.02
écoutiez	1141.6312	208.8347	33	0.4123751869	1.0147799	33	0.7083333	48	6	6	1.85	628	0.20000001	2.2	2.4
écoutille	1248.2556	166.84477	26	1.3535698738	1.0421392	26	0.7111111	45	6	5	2.6	790	0.46999998	1.79	2.26
écoutions	1121.2773	150.3537	41	0.5065394854	0.8858279	41	0.9148936	47	6	6	3.5	636	2.83999996	0.18	3.02
écoutons	1061.5643	140.90329	47	-0.0823695223	0.7563925	47	1	48	5	5	2.75	621	2.3	3.95	6.25
écrémé	1115.0488	175.92986	42	0.3165026196	0.9838484	42	0.9347826	46	6	6	1.95	640	0.07000001	0.58	0.65
écran	947.6524	127.03352	44	-0.7297733612	0.7402774	44	0.9565217	46	4	4	1.7	518	21.14999997	19.78	40.93
écrasa	1083.3473	177.43857	32	0.13488459	0.7397524	32	0.6956522	46	6	6	2.45	633	5.74000005	0.07	5.81
écrasais	1127.4491	157.67605	32	0.2414831668	0.9920675	32	0.7619048	42	6	6	2.55	627	1.01000001	0.23	1.24
écrase	1030.2883	139.56585	43	-0.1096901285	0.7948077	43	0.9347826	46	5	5	1.85	703	13.57999987	11.11	24.69
écraser	1081.6012	184.39416	42	0.199824737	1.0671931	42	0.9555556	45	6	6	1.95	634	20.46999978	16.75	37.22
écrasera	1097.3519	192.73098	46	0.1397692383	0.8017157	46	1	47	7	8	4.3	754	0.74000001	0.73	1.47
écraserai	1045.4838	149.52371	48	-0.0267856032	0.84138	48	1	48	7	8	4.35	668	0.20000001	1.17	1.37
écrasions	1136.8445	153.33866	39	0.5678100598	0.9587971	39	0.8	50	7	7	3.4	730	0.34000001	0	0.34
écrevisse	1108.4684	201.96548	49	0.3535849223	0.9994305	49	1	49	7	4	3.8	834	2.03000001	0.54	2.57
écria	1077.0898	194.67356	35	0.2423802868	1.0875695	35	0.8	45	6	6	2.05	537	25.68000029	0.35	26.03
écrie	1068.755	247.44657	42	-0.146208366	0.9986703	42	0.9545455	44	4	4	1.4	503	8.23999997	0.47	8.71
écrin	1105.0729	263.08002	42	0.1027616287	1.0187619	42	0.9333333	45	4	4	1.75	519	3.37999999	0.36	3.74
écrira	1039.7443	146.67226	47	-0.3074909377	0.7152264	47	0.9791667	48	6	6	2.45	602	1.69	1.77	3.46
écrirai	1015.3713	137.83388	45	-0.1659330038	0.8833954	45	1	45	6	6	2.45	590	4.05000002	6.4	10.45
écrirais	967.2502	119.01561	46	-0.6436868646	0.6266559	46	1	46	6	6	2.45	551	1.82000001	0.83	2.65
écrire	1109.5827	194.62431	43	0.2737515647	0.9034654	43	0.877551	49	5	5	1.75	762	116.14999921	84.14	200.29
écrite	1187.9152	175.12599	36	0.888296259	1.0355195	36	0.8085106	47	5	5	1.85	634	8.99000004	10.13	19.12
écriteau	1038.7869	174.18912	39	-0.1025945958	0.9699056	39	0.8125	48	6	6	2.4	542	3.04000005	2.2	5.24
écritoire	1141.5037	188.99952	34	0.7742527187	1.1869079	34	0.7777778	45	8	6	2.8	828	1.82000001	0.4	2.22
écriture	1037.4551	173.9142	45	-0.1648392687	0.9269216	45	1	45	7	6	2.5	802	32.02999972	11.99	44.02
écrivain	1052.6137	157.84094	47	-0.0374610081	0.8191036	47	0.9791667	48	6	6	2.7	573	32.43000026	20.7	53.13
écrivais	1068.0899	132.23282	46	-0.1310867363	0.7234701	46	0.9787234	47	6	6	2.5	621	9.11999994	5.2	14.32
écrivant	1050.8346	201.99661	40	-0.1002117748	0.9136746	40	0.8695652	46	6	6	2.1	511	6.42000008	1.34	7.76
écrive	1151.1791	165.85322	42	0.6413400607	0.9222002	42	1	43	5	5	1.85	658	3.10999998	2.67	5.78
écrivez	1041.9492	158.73509	40	-0.1741517036	0.8726174	40	0.9090909	44	6	6	1.9	532	5.20000001	9.04	14.24
écrivis	1084.1107	130.237	40	0.2733918554	0.9895167	40	0.9090909	44	6	6	2.6	529	4.65999998	0.07	4.73
écrou	1091.7309	176.96845	40	0.2276262899	0.8627485	40	0.8163265	49	4	4	1.75	511	2.43	0.34	2.77
écroula	1121.3209	202.54651	44	0.2560372185	0.8076375	44	0.9565217	46	6	6	2.45	668	4.31999997	0.19	4.51
écroulait	1119.9599	220.35371	49	0.1955493889	0.9477246	49	1	50	6	6	2.55	668	3.64999997	0.33	3.98
écroule	1069.8742	108.66735	43	-0.0181630493	0.6087074	43	0.9375	48	5	5	1.75	705	6.35000002	4.47	10.82
écrouler	1036.4314	135.95167	44	-0.2088072889	0.4930945	44	0.9574468	47	6	6	1.85	624	6.49000004	3.42	9.91
écueils	1112.0931	227.85846	36	0.3116943703	1.2643415	36	0.787234	47	4	4	1.9	631	1.21999998	0.08	1.3
écumèrent	1149.6631	259.2276	39	0.5504832442	1.1143617	39	0.8541667	48	6	5	2.05	740	0	0.01	0.01
écumai	1038.9379	191.6396	41	-0.2885122685	0.9492459	41	0.893617	47	5	5	2.05	548	0.07000001	0	0.07
écume	964.743	120.59137	47	-0.6970858473	0.7087661	47	1	47	4	4	1.8	593	16.75999994	2.45	19.21
écumiez	1099.3884	234.53591	38	0.1097409945	1.2246865	38	0.8085106	47	6	5	1.9	592	0	0.02	0.02
écureuil	985.4039	152.09182	44	-0.3865079852	0.9599601	44	0.9782609	46	6	5	2.8	730	8.84999999	5.71	14.56
écurie	1102.5807	131.04275	38	0.24892437	0.7536568	38	0.8333333	48	5	5	1.75	566	8.84999999	5.08	13.93
écusson	1021.8439	131.29596	39	-0.3054491107	0.6588798	39	0.9069767	43	5	5	2.9	528	2.22999998	0.32	2.55
écuyer	1054.5177	212.01803	33	-0.0204947665	1.0668061	33	0.8139535	43	6	6	1.85	611	3.04000005	1.18	4.22
édifiante	1191.2542	232.98617	42	0.8632433383	1.2187695	42	0.9361702	47	7	7	3.1	883	1.28000002	0.16	1.44
édifiants	1035.695	211.68306	47	-0.2368841365	0.8158778	47	1	47	6	6	2.5	693	0.46999998	0.05	0.52
édifice	1159.8052	172.33295	44	0.6187062898	0.8990606	44	0.9183673	49	6	6	2.7	771	10.95000013	2.71	13.66
édifie	1054.7791	173.9576	41	0.0213382315	0.916839	41	0.9761905	42	5	5	2.15	606	1.07999998	0.02	1.1
édifier	1027.2886	137.32228	47	-0.1017534143	0.8333477	47	0.9791667	48	6	6	2.05	627	3.04000005	0.31	3.35
éditée	974.7149	230.89529	48	-0.6205829441	1.1378854	48	1	48	5	5	1.55	571	0.20000001	0.05	0.25
éditerais	1076.4387	143.78309	44	0.1474419261	0.872907	44	0.9574468	47	6	7	3.95	634	0.07000001	0	0.07
éditeur	979.1152	88.56709	39	-0.5080874094	0.4747893	39	0.9318182	44	6	5	2	732	8.77999989	6.84	15.62
édition	1068.283	165.97037	41	-0.128291296	0.7897352	41	0.9318182	44	6	4	2.7	645	10.61000001	7.83	18.44
éditons	1164.7801	171.31455	46	0.5795202719	0.8651627	46	0.9387755	49	5	5	2.8	621	0.07000001	0.01	0.08
éditorial	1206.8564	155.05945	42	0.9898721545	0.798869	42	0.9777778	45	9	9	3.6	921	1.61999999	0.5	2.12
édredon	986.655	144.2041	41	-0.4001165065	0.8623981	41	0.8541667	48	6	3	4.85	523	4.99999999	0.39	5.39
éducation	1041.3079	168.02694	49	-0.1753490502	0.9087275	49	1	49	8	8	3.1	730	27.09000005	20.45	47.54
éduquer	910.4927	132.77764	44	-1.1167909281	0.6969907	44	1	44	5	5	2	482	1.69	3.96	5.65
égérie	1105.7037	194.39876	36	0.2267375103	0.9681687	36	0.7346939	49	5	4	2	459	0.27	0.46	0.73
égal	1004.6009	143.77696	47	-0.3781327293	0.7517513	47	1	47	4	4	1.65	628	26.88999973	30.8	57.69
également	998.5247	181.55602	43	-0.505395893	0.6006626	43	0.9555556	45	6	6	2.75	603	71.00999985	32.19	103.2
égaler	1076.0813	174.57071	43	0.0796564655	1.1110688	43	0.8958333	48	5	5	1.7	533	1.34999999	1.12	2.47
égalité	1061.0891	118.34639	39	-0.0322105411	0.6064538	39	0.975	40	7	7	2.05	725	8.11000006	6.96	15.07
égarait	989.3737	139.06049	41	-0.4779588238	0.672813	41	0.893617	47	5	5	1.9	588	1.42000002	0.04	1.46
égard	1051.8989	142.2343	40	-0.115863376	0.882636	40	0.9302326	43	4	4	1.65	548	58.30999945	6.77	65.08
égarement	1059.0654	139.32866	29	0.0422915125	0.9764932	29	0.725	40	6	6	2.6	589	2.49999996	0.44	2.94
égarer	1003.4374	213.30093	51	-0.3957799561	0.9374758	51	1	51	5	5	1.8	593	3.10999998	1.51	4.62
égarerait	1086.0358	130.72463	39	0.3076050841	0.809756	39	0.8125	48	6	7	3.9	632	0.20000001	0.01	0.21
égayé	1063.4962	234.86633	43	-0.1297459737	1.1735246	43	0.9565217	46	5	5	1.95	539	0.94999999	0.06	1.01
égayer	1027.266	161.8648	43	-0.2590966051	0.9075194	43	0.9347826	46	5	3	1.8	556	1.42000002	1	2.42
église	979.7998	180.44073	46	-0.6155946069	0.8808682	46	1	46	5	1	2	644	123.58000099	60.2	183.78
égoïsme	1168.2167	139.19295	48	0.8480781846	0.8102349	48	0.9795918	49	6	5	2.25	823	9.39000006	2.15	11.54
égoïste	1133.4985	166.3744	45	0.4004898592	0.8613655	45	1	45	6	6	2.45	837	9.11999994	9.19	18.31
égorge	1060.2543	131.79959	44	-0.0124712801	0.6673622	44	0.9574468	47	5	5	1.9	683	1.34999999	2.74	4.09
égorger	1013.0501	148.54387	46	-0.3341745076	0.7167297	46	1	47	6	6	1.9	659	2.83999996	2.96	5.8
égout	1106.718	230.23471	35	0.2576282109	1.1621242	35	0.7446809	47	3	3	1.75	474	6.22000004	3.23	9.45
égouttait	1077.0263	197.96042	41	0.0704775013	0.9736016	41	0.8913043	46	5	5	2.1	627	1.28000002	0.1	1.38
égouttez	1045.141	171.92398	40	-0.1315439149	0.9627325	40	0.9111111	45	5	5	1.75	564	0.14	0	0.14
égrainer	1208.0071	215.44093	39	0.9544227871	1.0870229	39	0.8723404	47	6	6	2.3	608	0.07000001	0	0.07
éjecte	1022.1712	161.72868	46	-0.3966929392	0.7351139	46	1	47	5	5	2.2	620	0.40999999	0.56	0.97
éjecter	915.7788	160.79587	46	-0.9917894076	0.893861	46	0.9787234	47	6	6	2.2	572	0.54	1.18	1.72
éjecteur	1148.6068	234.6193	38	0.5763904989	1.1611499	38	0.8510638	47	7	6	2.4	734	0	0.05	0.05
éjection	1034.3754	161.01369	43	-0.183902644	0.8346435	43	0.9166667	48	7	5	2.7	648	0.14	0.42	0.56
élève	966.4019	175.7011	48	-0.6616309885	0.8761419	48	1	48	4	4	1.9	546	38.91999976	23.43	62.35
élégance	1033.9031	192.09822	48	-0.2702974942	0.9728018	48	1	48	6	6	2.55	781	22.76999991	4.12	26.89
élégant	928.0914	140.9642	48	-0.9694342908	0.7315753	48	1	49	5	5	1.85	469	13.24000002	5.25	18.49
élégante	997.4075	150.3698	41	-0.3961744618	0.7280496	41	0.9777778	45	6	6	2.6	679	10.06999998	3.9	13.97
élément	900.4377	114.9646	43	-0.9977979885	0.4989602	43	0.9555556	45	5	5	1.8	503	16.14999983	10.2	26.35
éléphant	941.6852	175.40492	46	-0.8013986276	0.8480259	46	1	46	5	5	2.1	561	8.91999995	10.17	19.09
élévateur	1067.2523	157.32718	44	0.0438926276	0.7730659	44	0.9787234	47	8	7	3	858	0.27	0.44	0.71
élévation	1059.3943	172.58297	49	-0.0702073568	0.8845482	49	1	49	8	6	3.65	672	2.97000003	0.3	3.27
élaborer	986.8957	245.10143	46	-0.6342033138	1.1613308	46	1	46	7	7	2.7	599	1.55	0.63	2.18
